section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-011_1_E1_RE_SEC-06_local,1,1.0,2.0,87.3,72.7,73.8
R-011_1_E1_RE_SEC-06_local,2,2.0,2.0,71.7,60.2,61.3
R-011_1_E1_RE_SEC-06_local,3,3.0,2.0,68.9,62.4,60.2
R-011_1_E1_RE_SEC-06_local,4,4.0,2.0,66.9,64.0,66.0
R-011_1_E1_RE_SEC-06_local,5,5.0,2.0,67.1,65.9,66.7
R-011_1_E1_RE_SEC-06_local,6,6.0,2.0,66.5,59.0,60.6
R-011_1_E1_RE_SEC-06_local,7,7.0,2.0,64.7,54.5,51.4
R-011_1_E1_RE_SEC-06_local,8,8.0,2.0,63.4,58.3,63.4
R-011_1_E1_RE_SEC-06_local,9,9.0,2.0,63.2,50.3,49.9
R-011_1_E1_RE_SEC-06_local,10,10.0,2.0,61.0,44.5,43.8
